Tasks,Pr(Comp 1 | Task),Pr(Comp 2 | Task),Pr(Comp 3 | Task),Pr(Comp 4 | Task),Pr(Comp 5 | Task),Pr(Comp 6 | Task),Pr(Comp 7 | Task),Pr(Comp 8 | Task),Pr(Comp 9 | Task),Pr(Comp 10 | Task)
Action Observation,0.00251,0.00008,0.10395,0.51495,0.00486,0.34229,0.00146,0.00207,0.02778,0.00005
Acupuncture,0.01051,0.19864,0.07363,0.02226,0.00003,0.00454,0.14509,0.00089,0.40253,0.14188
Anti-Saccades,0.00002,0.00002,0.00002,0.00002,0.00002,0.70292,0.25151,0.02396,0.00003,0.02148
Braille Reading,0.10015,0.00117,0.00002,0.55005,0.03020,0.29674,0.00003,0.02161,0.00002,0.00002
Breath-Holding,0.00011,0.33360,0.05530,0.12399,0.00269,0.00007,0.44845,0.00010,0.03552,0.00017
Chewing/Swallowing,0.05656,0.62895,0.03644,0.00482,0.00003,0.00170,0.00002,0.27104,0.00035,0.00010
Classical Conditioning,0.03973,0.14302,0.06403,0.08762,0.00016,0.00499,0.10183,0.00627,0.27705,0.27530
Counting/Calculation,0.02261,0.02033,0.01498,0.12861,0.12260,0.20413,0.09682,0.38863,0.00039,0.00091
Cued Explicit Recognition,0.05567,0.00154,0.04048,0.09079,0.09574,0.03373,0.03307,0.32662,0.27361,0.04875
Deception Task,0.01678,0.00073,0.07450,0.00017,0.23345,0.08027,0.19987,0.13290,0.22377,0.03755
Deductive Reasoning,0.01411,0.00553,0.01713,0.15535,0.06242,0.15460,0.05990,0.28485,0.13364,0.11247
Delay Discounting Task,0.00019,0.00012,0.05954,0.07011,0.05951,0.00305,0.03962,0.34933,0.20875,0.20979
Delayed Match To Sample,0.04571,0.01702,0.00001,0.27612,0.11882,0.16640,0.15558,0.18320,0.00398,0.03315
Divided Auditory Attention,0.02478,0.25833,0.18031,0.24633,0.00017,0.00171,0.00295,0.22212,0.06307,0.00022
Drawing,0.33852,0.00002,0.08801,0.00002,0.00002,0.57316,0.00002,0.00001,0.00002,0.00021
Eating/Drinking,0.00015,0.13166,0.00659,0.04499,0.03248,0.00001,0.20714,0.00026,0.16555,0.41116
Encoding,0.03080,0.01542,0.01033,0.20358,0.13448,0.08873,0.05997,0.14397,0.27702,0.03569
Episodic Recall,0.00004,0.10526,0.00518,0.02903,0.04366,0.01130,0.09356,0.05849,0.51902,0.13447
Face Monitor/Discrimination,0.00081,0.04861,0.05555,0.26961,0.00897,0.00000,0.00162,0.00008,0.51636,0.09839
Film Viewing,0.01861,0.03979,0.11889,0.20362,0.00731,0.07307,0.10102,0.04121,0.25123,0.14525
Finger Tapping,0.77187,0.11162,0.00277,0.01741,0.00434,0.04981,0.04113,0.00071,0.00001,0.00032
Fixation,0.00006,0.09394,0.06159,0.12116,0.00006,0.30867,0.06101,0.19956,0.11190,0.04206
Flanker Task,0.14903,0.01003,0.00005,0.05490,0.02962,0.10835,0.32731,0.27436,0.00165,0.04468
Flashing Checkerboard,0.09837,0.40657,0.00009,0.45461,0.00017,0.03994,0.00006,0.00007,0.00006,0.00006
Flexion/Extension,0.44372,0.50026,0.00001,0.00020,0.00006,0.05425,0.00103,0.00002,0.00002,0.00043
Free Word List Recall,0.00738,0.02041,0.16813,0.02938,0.07641,0.01575,0.09105,0.37749,0.12799,0.08603
Go/No-Go,0.08690,0.01382,0.06310,0.08283,0.04127,0.09231,0.31441,0.18312,0.04755,0.07469
Grasping,0.69873,0.06010,0.00129,0.00002,0.00003,0.14026,0.01353,0.08597,0.00006,0.00002
Imagined Movement,0.34314,0.08357,0.00004,0.02938,0.19507,0.28941,0.05766,0.00002,0.00001,0.00170
Imagined Objects/Scenes,0.00653,0.00591,0.05114,0.04005,0.17044,0.17634,0.04967,0.10661,0.30267,0.09064
Isometric Force,0.55801,0.20492,0.00002,0.07384,0.00002,0.00017,0.04608,0.05709,0.05097,0.00887
Mental Rotation,0.04710,0.00530,0.02189,0.25532,0.00488,0.48590,0.01368,0.16375,0.00044,0.00174
Micturition Task,0.01877,0.07767,0.00906,0.00003,0.00198,0.00003,0.80457,0.00004,0.01960,0.06826
Music Comprehension/Production,0.00037,0.28318,0.29600,0.00109,0.14936,0.01129,0.10701,0.00002,0.06581,0.08587
Naming (Covert),0.00134,0.00912,0.01017,0.49311,0.45169,0.01812,0.00006,0.00200,0.00011,0.01430
Naming (Overt),0.00130,0.14776,0.09968,0.44411,0.09927,0.02337,0.01666,0.00490,0.16200,0.00095
Non-Painful Electrical Stimulation,0.48825,0.43878,0.00102,0.00003,0.00004,0.00004,0.00021,0.06614,0.00542,0.00007
Non-Painful Thermal Stimulation,0.17028,0.01148,0.04503,0.00876,0.00006,0.01216,0.25917,0.24198,0.00006,0.25102
Oddball Discrimination,0.12679,0.00003,0.40363,0.06413,0.00019,0.13037,0.18969,0.05912,0.01571,0.01034
Olfactory Monitor/Discrimination,0.00002,0.07468,0.00433,0.04552,0.00003,0.00028,0.08358,0.01075,0.34528,0.43551
Orthographic Discrimination,0.11441,0.00530,0.06698,0.21678,0.17939,0.06764,0.06091,0.22660,0.00004,0.06195
Pain Monitor/Discrimination,0.09720,0.16891,0.01120,0.00001,0.00246,0.00143,0.63740,0.00913,0.03384,0.03843
Paired Associate Recall,0.00525,0.01831,0.07230,0.03431,0.21618,0.06889,0.00815,0.19179,0.18064,0.20418
Passive Listening,0.03479,0.03270,0.69255,0.00846,0.05675,0.00926,0.00672,0.02892,0.11973,0.01013
Passive Viewing,0.01870,0.05049,0.02110,0.29214,0.00202,0.03277,0.07650,0.05025,0.34457,0.11145
Phonological Discrimination,0.01762,0.02678,0.27803,0.10290,0.38125,0.00082,0.04286,0.13559,0.00016,0.01400
Pitch Monitor/Discrimination,0.00001,0.01776,0.65851,0.05415,0.05337,0.00002,0.00056,0.06639,0.01743,0.13179
Pointing,0.39426,0.00019,0.00003,0.00004,0.01319,0.44288,0.05983,0.08943,0.00008,0.00008
Posner Task,0.12548,0.00021,0.09770,0.17580,0.02935,0.16787,0.30926,0.00013,0.00189,0.09232
