Tasks,Pr(Comp 1 | Task),Pr(Comp 2 | Task),Pr(Comp 3 | Task),Pr(Comp 4 | Task),Pr(Comp 5 | Task),Pr(Comp 6 | Task),Pr(Comp 7 | Task),Pr(Comp 8 | Task),Pr(Comp 9 | Task),Pr(Comp 10 | Task),Pr(Comp 11 | Task),Pr(Comp 12 | Task)
Action Observation,0.00049,0.00006,0.10585,0.58233,0.02152,0.23076,0.00002,0.00004,0.00324,0.00016,0.05551,0.00002
Acupuncture,0.01371,0.04537,0.03128,0.00311,0.00003,0.00056,0.31952,0.03166,0.00003,0.27677,0.15306,0.12490
Anti-Saccades,0.00002,0.00002,0.00001,0.00048,0.00001,0.71598,0.00038,0.25792,0.01377,0.00002,0.00002,0.01137
Braille Reading,0.11030,0.00620,0.00002,0.65719,0.06902,0.10158,0.00002,0.00002,0.05560,0.00002,0.00001,0.00001
Breath-Holding,0.00010,0.22123,0.06577,0.08652,0.00626,0.00006,0.40252,0.16611,0.00010,0.00005,0.05118,0.00011
Chewing/Swallowing,0.07284,0.60563,0.00111,0.00051,0.00002,0.00002,0.02423,0.00003,0.19071,0.10485,0.00003,0.00002
Classical Conditioning,0.04241,0.08519,0.07022,0.05651,0.00007,0.00382,0.13086,0.05156,0.00029,0.00766,0.31772,0.23368
Counting/Calculation,0.02082,0.02401,0.01748,0.13334,0.13565,0.14355,0.03939,0.03124,0.45039,0.00088,0.00247,0.00076
Cued Explicit Recognition,0.04919,0.00075,0.02056,0.04395,0.08856,0.02631,0.01423,0.05851,0.26781,0.23267,0.16688,0.03059
Deception Task,0.01641,0.01241,0.02883,0.00002,0.08932,0.06841,0.00002,0.45124,0.02172,0.27247,0.03123,0.00792
Deductive Reasoning,0.01085,0.01032,0.00902,0.14597,0.05104,0.11657,0.00366,0.09913,0.24165,0.14278,0.08404,0.08497
Delay Discounting Task,0.00002,0.00003,0.00294,0.02399,0.04310,0.00070,0.00082,0.05467,0.24609,0.42410,0.02717,0.17637
Delayed Match To Sample,0.04463,0.00926,0.00005,0.27601,0.15094,0.11463,0.05527,0.08456,0.21229,0.00109,0.01151,0.03976
Divided Auditory Attention,0.01437,0.17897,0.17928,0.25239,0.00015,0.00063,0.08944,0.00012,0.16438,0.01535,0.10479,0.00011
Drawing,0.47895,0.00002,0.07446,0.00038,0.00002,0.42462,0.00001,0.00002,0.00001,0.02142,0.00002,0.00007
Eating/Drinking,0.00006,0.06329,0.00522,0.00518,0.03446,0.00001,0.19818,0.11597,0.00003,0.00071,0.22936,0.34754
Encoding,0.02910,0.01029,0.01067,0.15449,0.14093,0.07788,0.01645,0.09398,0.10255,0.08385,0.26483,0.01498
Episodic Recall,0.00001,0.07716,0.00017,0.00081,0.01212,0.00993,0.08823,0.10034,0.03671,0.27424,0.28902,0.11127
Face Monitor/Discrimination,0.00049,0.03388,0.05929,0.11392,0.01669,0.00000,0.02720,0.00082,0.00001,0.03420,0.67265,0.04086
Film Viewing,0.01396,0.01981,0.10981,0.17931,0.00975,0.05895,0.07012,0.06797,0.02205,0.07227,0.25336,0.12265
Finger Tapping,0.80485,0.06041,0.00780,0.02427,0.00123,0.03176,0.03241,0.03038,0.00644,0.00000,0.00000,0.00043
Fixation,0.00004,0.05729,0.00864,0.11784,0.00004,0.26057,0.06462,0.04560,0.12414,0.31749,0.00003,0.00369
Flanker Task,0.16709,0.00780,0.00003,0.08320,0.00107,0.04311,0.00004,0.49269,0.18629,0.00016,0.00198,0.01656
Flashing Checkerboard,0.06532,0.48518,0.00005,0.44837,0.00014,0.00034,0.00006,0.00004,0.00005,0.00035,0.00004,0.00005
Flexion/Extension,0.52368,0.40091,0.00001,0.00007,0.00001,0.03531,0.03738,0.00209,0.00001,0.00025,0.00001,0.00028
Free Word List Recall,0.00308,0.00096,0.13777,0.03260,0.03523,0.00627,0.06476,0.11871,0.30361,0.21295,0.02794,0.05613
Go/No-Go,0.09764,0.01292,0.05759,0.08990,0.01402,0.06488,0.01531,0.39270,0.13033,0.02833,0.04705,0.04933
