Tasks,Pr(Comp 1 | Task),Pr(Comp 2 | Task),Pr(Comp 3 | Task),Pr(Comp 4 | Task),Pr(Comp 5 | Task),Pr(Comp 6 | Task),Pr(Comp 7 | Task),Pr(Comp 8 | Task),Pr(Comp 9 | Task),Pr(Comp 10 | Task),Pr(Comp 11 | Task),Pr(Comp 12 | Task),Pr(Comp 13 | Task)
Action Observation,0.00017,0.00001,0.08258,0.11705,0.59294,0.02615,0.12474,0.00008,0.00003,0.01003,0.00003,0.04617,0.00001
Acupuncture,0.00004,0.05653,0.04719,0.00007,0.03503,0.00003,0.00003,0.29511,0.00200,0.00002,0.21137,0.22320,0.12937
Anti-Saccades,0.00002,0.00002,0.00001,0.00002,0.07277,0.00001,0.62279,0.00356,0.24936,0.03808,0.00002,0.00001,0.01331
Braille Reading,0.10479,0.03177,0.00001,0.14202,0.50613,0.02842,0.02639,0.00003,0.00002,0.16039,0.00001,0.00001,0.00001
Breath-Holding,0.00007,0.19178,0.09255,0.11074,0.00014,0.00444,0.00005,0.45601,0.08007,0.00012,0.00005,0.06383,0.00015
Chewing/Swallowing,0.04289,0.54318,0.04961,0.00001,0.02245,0.00002,0.00003,0.01947,0.00440,0.12971,0.18818,0.00001,0.00002
Classical Conditioning,0.03270,0.09152,0.08355,0.01664,0.05061,0.00068,0.00432,0.08060,0.05038,0.00010,0.00039,0.37033,0.21818
Counting/Calculation,0.01076,0.02069,0.01544,0.07007,0.07265,0.09621,0.10270,0.04561,0.01309,0.54651,0.00363,0.00141,0.00123
Cued Explicit Recognition,0.04995,0.00076,0.01823,0.04862,0.05223,0.07691,0.01682,0.00664,0.10625,0.22445,0.21991,0.16275,0.01648
Deception Task,0.02228,0.01656,0.01339,0.00026,0.01630,0.13772,0.05530,0.00006,0.45405,0.00291,0.26592,0.01287,0.00237
Deductive Reasoning,0.01838,0.00176,0.00691,0.01402,0.22586,0.05905,0.05969,0.00399,0.14753,0.18059,0.15634,0.05734,0.06855
Delay Discounting Task,0.00002,0.00008,0.00239,0.03885,0.02289,0.01586,0.00010,0.00017,0.06702,0.21636,0.46708,0.00618,0.16302
Delayed Match To Sample,0.03558,0.02232,0.00001,0.15469,0.15917,0.10025,0.08154,0.05615,0.04914,0.28756,0.00003,0.00888,0.04468
Divided Auditory Attention,0.02004,0.14597,0.20435,0.04653,0.23424,0.00015,0.00009,0.04920,0.00215,0.12818,0.10932,0.05965,0.00013
Drawing,0.08006,0.00001,0.02068,0.00001,0.00001,0.00001,0.89916,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
Eating/Drinking,0.00003,0.06663,0.01143,0.03632,0.00009,0.03984,0.00001,0.15283,0.10717,0.00002,0.00129,0.21225,0.37210
Encoding,0.02474,0.01116,0.00713,0.14079,0.10495,0.12804,0.06482,0.00647,0.14293,0.08217,0.03071,0.24823,0.00786
Episodic Recall,0.00001,0.08426,0.00040,0.00343,0.04336,0.02977,0.00024,0.04969,0.11245,0.00331,0.39826,0.16304,0.11178
Face Monitor/Discrimination,0.00031,0.02049,0.06323,0.27517,0.00053,0.00698,0.00000,0.00293,0.00125,0.00001,0.02520,0.55103,0.05286
Film Viewing,0.01356,0.01399,0.10051,0.11758,0.13815,0.01163,0.03629,0.05741,0.07418,0.02008,0.07392,0.21998,0.12273
Finger Tapping,0.71140,0.12739,0.00668,0.00036,0.02999,0.00153,0.02515,0.09135,0.00209,0.00388,0.00000,0.00000,0.00017
Fixation,0.00004,0.04121,0.03676,0.00956,0.26886,0.00004,0.16026,0.05670,0.08206,0.09356,0.24565,0.00005,0.00525
Flanker Task,0.16212,0.02926,0.00002,0.02784,0.04483,0.00170,0.06240,0.00561,0.45653,0.19514,0.00018,0.00017,0.01420
Flashing Checkerboard,0.05287,0.39464,0.00008,0.00742,0.54417,0.00047,0.00006,0.00006,0.00004,0.00005,0.00007,0.00004,0.00004
Flexion/Extension,0.34042,0.56085,0.00003,0.00001,0.00057,0.00001,0.06006,0.03795,0.00002,0.00001,0.00003,0.00001,0.00003
