Tasks,Pr(Comp 1 | Task),Pr(Comp 2 | Task),Pr(Comp 3 | Task),Pr(Comp 4 | Task),Pr(Comp 5 | Task),Pr(Comp 6 | Task),Pr(Comp 7 | Task),Pr(Comp 8 | Task),Pr(Comp 9 | Task),Pr(Comp 10 | Task),Pr(Comp 11 | Task),Pr(Comp 12 | Task),Pr(Comp 13 | Task),Pr(Comp 14 | Task)
Action Observation,0.00002,0.00001,0.06913,0.31086,0.34111,0.00005,0.14473,0.00002,0.00001,0.01287,0.00001,0.07797,0.04317,0.00001
Acupuncture,0.00001,0.00057,0.04893,0.00001,0.06481,0.00004,0.00002,0.24082,0.07929,0.00002,0.12247,0.07955,0.24538,0.11808
Anti-Saccades,0.00002,0.00002,0.00001,0.00003,0.12185,0.00001,0.58298,0.00002,0.22225,0.05458,0.00013,0.00002,0.00001,0.01807
Braille Reading,0.08501,0.00021,0.00001,0.77415,0.00017,0.00004,0.12934,0.00003,0.00002,0.01096,0.00002,0.00001,0.00001,0.00001
Breath-Holding,0.00008,0.19579,0.05526,0.09194,0.00008,0.00044,0.00004,0.12662,0.41379,0.00008,0.00005,0.00005,0.11566,0.00009
Chewing/Swallowing,0.01215,0.38901,0.00535,0.00002,0.04253,0.00003,0.00003,0.27140,0.00001,0.11347,0.16523,0.00074,0.00001,0.00002
Classical Conditioning,0.03134,0.05687,0.06139,0.01846,0.03884,0.00334,0.00486,0.06930,0.09692,0.00054,0.01674,0.00848,0.38260,0.21032
Counting/Calculation,0.01277,0.03292,0.02226,0.16896,0.01407,0.05848,0.12835,0.02296,0.04361,0.48070,0.00459,0.00634,0.00307,0.00090
Cued Explicit Recognition,0.04193,0.00033,0.02631,0.05241,0.02792,0.07306,0.01675,0.00921,0.01293,0.24681,0.26193,0.09156,0.11871,0.02015
Deception Task,0.02718,0.02841,0.01848,0.00001,0.00434,0.09666,0.05322,0.00003,0.25470,0.06008,0.10918,0.33646,0.00012,0.01112
Deductive Reasoning,0.01443,0.01629,0.00207,0.07774,0.12157,0.00767,0.07578,0.00004,0.05354,0.23517,0.10537,0.20290,0.00646,0.08098
Delay Discounting Task,0.00002,0.00009,0.01902,0.02267,0.02729,0.01534,0.00008,0.00005,0.01299,0.21108,0.34149,0.19728,0.00273,0.14987
