10-comp Specialized ROIs,Top Component,11-comp Specialized ROIs,Top Component,12-comp Specialized ROIs,Top Component,13-comp Specialized ROIs,Top Component,14-comp Specialized ROIs,Top Component
1,4,1,1,1,1,1,1,1,1
2,1,2,4,2,4,2,3,2,3
3,3,3,3,3,3,3,4,3,4
4,6,4,6,4,6,4,7,4,7
5,9,5,2,5,2,5,2,5,12
6,2,6,9,6,10,6,12,6,2
7,5,7,5,7,5,7,11,7,8
8,10,8,10,8,11,8,5,8,6
9,8,9,8,9,9,9,6,9,13
10,1,10,6,10,10,10,11,10,7
11,9,11,1,11,6,11,7,11,5
12,6,12,9,12,1,12,10,12,10
13,7,13,7,13,11,13,5,13,5
14,9,14,9,14,8,14,1,14,8
15,2,15,8,15,7,15,9,15,12
16,8,16,3,16,8,16,2,16,1
17,5,17,9,17,12,17,5,17,9
18,8,18,9,18,12,18,11,18,11
19,8,19,7,19,10,19,11,19,12
20,9,20,7,20,7,20,8,20,11
21,8,21,8,21,10,21,8,21,14
22,5,22,11,22,9,22,13,22,11
23,6,23,11,23,6,23,11,23,10
24,9,24,6,24,7,24,9,24,14
25,10,25,11,25,2,25,11,25,3
26,4,26,9,26,10,26,12,26,11
27,10,27,8,27,7,27,10,27,12
28,8,28,3,28,10,28,8,28,4
29,9,29,9,29,7,29,13,29,10
30,5,30,1,30,10,30,12,30,12
31,9,31,5,31,3,31,13,31,8
32,10,32,5,32,11,32,5,32,5
33,10,33,7,33,11,33,11,33,9
34,4,34,9,34,10,34,12,34,12
35,3,35,11,35,4,35,10,35,5
36,9,36,8,36,5,36,2,36,10
37,4,37,9,37,9,37,11,37,13
38,9,38,5,38,7,38,11,38,1
39,9,39,10,39,10,39,5,39,10
40,3,40,9,40,11,40,1,40,4
41,7,41,7,41,1,41,6,41,11
42,7,42,9,42,9,42,13,42,11
43,4,43,10,43,9,43,3,43,14
44,8,44,10,44,11,44,4,44,6
45,7,45,10,45,12,45,9,45,9
46,2,46,2,46,10,46,11,46,13
47,9,47,9,47,12,47,6,47,9
48,1,48,7,48,2,48,2,48,11
49,1,49,1,49,5,49,3,49,11
50,5,50,3,50,7,50,12,50,10
51,9,51,2,51,10,51,11,51,6
52,9,52,10,52,8,52,7,52,12
53,9,53,2,53,8,53,1,53,11
54,1,54,9,54,3,54,13,54,12
55,9,55,7,55,12,55,2,55,12
56,9,56,11,56,1,56,10,56,11
57,3,57,3,57,8,57,8,57,2
58,9,58,8,58,11,58,6,58,11
59,10,59,3,59,8,59,7,59,14
60,7,60,9,60,11,60,11,60,9
61,9,61,3,61,11,61,6,61,5
62,2,62,11,62,10,62,9,62,14
63,9,63,2,63,12,63,6,63,11
64,3,64,4,64,2,64,8,64,6
65,6,65,10,65,10,65,4,65,5
66,9,66,3,66,7,66,12,66,13
67,6,67,9,67,10,67,5,67,5
68,9,68,9,68,9,68,13,68,11
69,2,69,9,69,3,69,8,69,4
70,8,70,2,70,6,70,3,70,12
71,9,71,3,71,5,71,12,71,14
72,2,72,9,72,11,72,13,72,7
73,7,73,4,73,5,73,11,73,11
74,3,74,7,74,10,74,5,74,8
75,7,75,9,75,10,75,12,75,8
76,2,76,2,76,4,76,4,76,6
77,6,77,5,77,1,77,3,77,7
78,9,78,5,78,11,78,12,78,12
79,8,79,7,79,11,79,6,79,3
80,3,80,7,80,5,80,11,80,3
81,7,81,10,81,6,81,13,81,7
82,7,82,5,82,2,82,8,82,7
83,9,83,2,83,7,83,8,83,11
84,9,84,1,84,11,84,1,84,1
