10-comp Specialized ROIs,Top Component,11-comp Specialized ROIs,Top Component,12-comp Specialized ROIs,Top Component,13-comp Specialized ROIs,Top Component,14-comp Specialized ROIs,Top Component
1,4,1,4,1,4,1,3,1,3
2,3,2,3,2,3,2,2,2,4
3,2,3,7,3,2,3,1,3,7
4,9,4,2,4,7,4,4,4,11
5,1,5,1,5,1,5,7,5,8
6,6,6,6,6,6,6,12,6,2
7,8,7,9,7,10,7,7,7,12
8,10,8,8,8,12,8,11,8,5
9,6,9,10,9,6,9,8,9,10
10,8,10,6,10,9,10,5,10,8
11,7,11,8,11,8,11,9,11,7
12,7,12,9,12,11,12,9,12,9
13,9,13,9,13,10,13,13,13,13
14,9,14,1,14,8,14,11,14,9
15,1,15,7,15,9,15,8,15,8
16,8,16,11,16,10,16,10,16,8
17,2,17,10,17,11,17,5,17,10
18,7,18,9,18,1,18,5,18,5
19,8,19,8,19,9,19,10,19,14
20,7,20,4,20,7,20,11,20,5
21,2,21,11,21,10,21,8,21,11
22,7,22,9,22,9,22,5,22,1
23,1,23,7,23,1,23,10,23,12
24,8,24,11,24,11,24,9,24,11
25,8,25,7,25,10,25,1,25,1
26,7,26,9,26,11,26,8,26,1
27,10,27,11,27,4,27,5,27,10
28,7,28,10,28,8,28,10,28,9
29,2,29,9,29,1,29,7,29,13
30,8,30,1,30,10,30,11,30,14
31,10,31,8,31,8,31,11,31,7
32,6,32,8,32,7,32,1,32,8
33,6,33,9,33,8,33,2,33,1
34,10,34,11,34,10,34,4,34,13
35,2,35,9,35,11,35,12,35,10
36,10,36,11,36,9,36,13,36,9
37,8,37,11,37,2,37,3,37,8
38,7,38,6,38,11,38,10,38,11
39,9,39,8,39,9,39,4,39,11
40,9,40,10,40,7,40,12,40,8
41,9,41,11,41,10,41,12,41,9
42,2,42,1,42,10,42,8,42,1
43,9,43,1,43,2,43,12,43,13
44,10,44,6,44,9,44,5,44,1
45,3,45,3,45,1,45,2,45,8
46,1,46,9,46,7,46,2,46,4
47,3,47,4,47,10,47,7,47,7
48,7,48,9,48,11,48,2,48,10
49,9,49,1,49,12,49,9,49,9
50,9,50,10,50,10,50,12,50,11
51,6,51,2,51,8,51,2,51,2
52,2,52,9,52,10,52,5,52,12
53,2,53,7,53,6,53,5,53,11
54,9,54,2,54,2,54,10,54,8
55,10,55,9,55,6,55,11,55,8
56,2,56,10,56,6,56,12,56,11
57,9,57,8,57,7,57,2,57,5
58,8,58,11,58,11,58,5,58,1
59,3,59,10,59,7,59,13,59,8
60,2,60,9,60,11,60,12,60,11
61,9,61,1,61,10,61,9,61,3
62,4,62,11,62,9,62,11,62,10
63,4,63,2,63,7,63,11,63,8
64,1,64,6,64,9,64,5,64,12
65,1,65,10,65,11,65,11,65,11
66,1,66,10,66,2,66,12,66,12
67,9,67,4,67,3,67,3,67,11
68,9,68,9,68,10,68,9,68,11
69,1,69,8,69,3,69,8,69,4
70,9,70,1,70,6,70,2,70,13
71,10,71,11,71,6,71,11,71,5
72,10,72,11,72,9,72,8,72,11
73,8,73,4,73,9,73,7,73,13
74,8,74,9,74,9,74,9,74,10
75,10,75,1,75,12,75,11,75,14
76,8,76,2,76,10,76,11,76,13
77,3,77,10,77,2,77,5,77,11
78,10,78,6,78,4,78,9,78,11
79,7,79,9,79,11,79,4,79,8
80,9,80,7,80,10,80,8,80,8
81,10,81,9,81,10,81,5,81,12
82,10,82,9,82,7,82,9,82,13
83,7,83,10,83,7,83,7,83,8
84,4,84,10,84,8,84,12,84,14
85,2,85,8,85,6,85,4,85,10
86,2,86,3,86,7,86,7,86,8
87,2,87,9,87,8,87,12,87,11
88,2,88,6,88,8,88,12,88,1
89,7,89,8,89,12,89,1,89,14
90,9,90,7,90,12,90,2,90,8
91,9,91,7,91,10,91,7,91,7
92,10,92,11,92,11,92,11,92,7
93,7,93,2,93,10,93,1,93,7
94,7,94,3,94,8,94,11,94,12
95,1,95,9,95,1,95,12,95,11
96,1,96,2,96,1,96,8,96,5
97,9,97,9,97,3,97,13,97,7
98,6,98,11,98,9,98,2,98,11
99,7,99,10,99,8,99,10,99,14
100,7,100,7,100,1,100,12,100,12
101,1,101,9,101,3,101,11,101,11
102,10,102,9,102,11,102,11,102,10
103,10,103,8,103,12,103,5,103,1
104,10,104,3,104,10,104,8,104,1
105,2,105,9,105,2,105,4,105,13
106,8,106,9,106,7,106,13,106,13
107,7,107,11,107,10,107,8,107,14
108,4,108,10,108,9,108,12,108,11
109,9,109,4,109,7,109,11,109,11
110,9,110,7,110,3,110,2,110,13
111,9,111,3,111,11,111,10,111,8
112,10,112,9,112,11,112,10,112,11
113,2,113,9,113,11,113,3,113,5
114,6,114,9,114,10,114,9,114,4
115,3,115,9,115,10,115,11,115,1
116,3,116,9,116,10,116,11,116,2
117,7,117,1,117,10,117,2,117,13
118,4,118,6,118,7,118,5,118,14
119,1,119,10,119,1,119,5,119,7
120,9,120,10,120,12,120,10,120,11
121,9,121,10,121,6,121,8,121,1
122,2,122,8,122,9,122,3,122,13
123,2,123,4,123,2,123,12,123,14
124,6,124,4,124,4,124,12,124,11
125,8,125,4,125,7,125,11,125,11
126,8,126,7,126,8,126,5,126,10
127,3,127,9,127,1,127,5,127,4
128,7,128,9,128,11,128,5,128,14
129,9,129,9,129,11,129,2,129,12
130,10,130,9,130,11,130,10,130,11
131,10,131,1,131,12,131,8,131,13
132,10,132,11,132,12,132,9,132,14
133,2,133,11,133,12,133,11,133,8
134,6,134,11,134,12,134,5,134,9
135,8,135,11,135,12,135,7,135,5
136,3,136,11,136,6,136,9,136,5
137,3,137,2,137,6,137,9,137,10
138,3,138,2,138,10,138,11,138,4
139,3,139,6,139,4,139,2,139,1
