Int-Region1	Seg-Region1	Int-Region2	Seg-Region2	Int-Region4	Seg-Region4	Int-Region5	Seg-Region5	Int-No entry	Seg-No entry
(0,24,0)	(0,24,0)	(0,23,0)	(0,23,0)	(0,21,0)	(0,21,0)	(0,20,0)	(0,20,0)			
(1,24,0)	(1,24,0)	(1,23,0)	(1,23,0)	(1,21,0)	(1,21,0)	(1,20,0)	(1,20,0)			
(2,24,0)	(2,24,0)	(2,23,0)	(2,23,0)	(2,21,0)	(2,21,0)	(2,20,0)	(2,20,0)			
(3,24,0)	(3,24,0)	(3,23,0)	(3,23,0)	(3,21,0)	(3,21,0)	(3,20,0)	(3,20,0)			
(4,24,0)	(4,24,0)	(4,23,0)	(4,23,0)	(4,21,0)	(4,21,0)	(4,20,0)	(4,20,0)			
(5,24,0)	(5,24,0)	(5,23,0)	(5,23,0)	(5,21,0)	(5,21,0)	(5,20,0)	(5,20,0)			
(6,24,0)	(6,24,0)	(6,23,0)	(6,23,0)	(6,21,0)	(6,21,0)	(6,20,0)	(6,20,0)			
(7,24,0)	(7,24,0)	(7,23,0)	(7,23,0)	(7,21,0)	(7,21,0)	(7,20,0)	(7,20,0)			
(8,24,0)	(8,24,0)	(8,23,0)	(8,23,0)	(8,21,0)	(8,21,0)	(8,20,0)	(8,20,0)			
(9,24,0)	(9,24,0)	(9,23,0)	(9,23,0)	(9,21,0)	(9,21,0)	(9,20,0)	(9,20,0)			
(10,24,0)	(10,24,0)	(10,23,0)	(10,23,0)	(10,21,0)	(10,21,0)	(10,20,0)	(10,20,0)			
(11,24,0)	(11,24,0)	(11,23,0)	(11,23,0)	(11,21,0)	(11,21,0)	(11,20,0)	(11,20,0)			
(12,24,0)	(12,24,0)	(12,23,0)	(12,23,0)	(12,21,0)	(12,21,0)	(12,20,0)	(12,20,0)			
(13,24,0)	(13,24,0)	(13,23,0)	(13,23,0)	(13,21,0)	(13,21,0)	(13,20,0)	(13,20,0)			
(14,24,0)	(14,24,0)	(14,23,0)	(14,23,0)	(14,21,0)	(14,21,0)	(14,20,0)	(14,20,0)			
(15,24,0)	(15,24,0)	(15,23,0)	(15,23,0)	(15,21,0)	(15,21,0)	(15,20,0)	(15,20,0)			
(16,24,0)	(16,24,0)	(16,23,0)	(16,23,0)	(16,21,0)	(16,21,0)	(16,20,0)	(16,20,0)			
(17,24,0)	(17,24,0)	(17,23,0)	(17,23,0)	(17,21,0)	(17,21,0)	(17,20,0)	(17,20,0)			
(18,24,0)	(18,24,0)	(18,23,0)	(18,23,0)	(18,21,0)	(18,21,0)	(18,20,0)	(18,20,0)			
(19,24,0)	(19,24,0)	(19,23,0)	(19,23,0)	(19,21,0)	(19,21,0)	(19,20,0)	(19,20,0)			
(20,24,0)	(20,24,0)	(20,23,0)	(20,23,0)	(20,21,0)	(20,21,0)	(20,20,0)	(20,20,0)			
(21,24,0)	(21,24,0)	(21,23,0)	(21,23,0)	(21,21,0)	(21,21,0)	(21,20,0)	(21,20,0)			
(22,24,0)	(22,24,0)	(22,23,0)	(22,23,0)	(22,21,0)	(22,21,0)	(22,20,0)	(22,20,0)			
(23,24,0)	(23,24,0)	(23,23,0)	(23,23,0)	(23,21,0)	(23,21,0)	(23,20,0)	(23,20,0)			
(24,24,0)	(24,24,0)	(24,23,0)	(24,23,0)	(24,21,0)	(24,21,0)	(24,20,0)	(24,20,0)			
(0,24,1)	(0,24,1)	(0,23,1)	(0,23,1)	(0,21,1)	(0,21,1)	(0,20,1)	(0,20,1)			
(1,24,1)	(1,24,1)	(1,23,1)	(1,23,1)	(1,21,1)	(1,21,1)	(1,20,1)	(1,20,1)			
(2,24,1)	(2,24,1)	(2,23,1)	(2,23,1)	(2,21,1)	(2,21,1)	(2,20,1)	(2,20,1)			
(3,24,1)	(3,24,1)	(3,23,1)	(3,23,1)	(3,21,1)	(3,21,1)	(3,20,1)	(3,20,1)			
(4,24,1)	(4,24,1)	(4,23,1)	(4,23,1)	(4,21,1)	(4,21,1)	(4,20,1)	(4,20,1)			
(5,24,1)	(5,24,1)	(5,23,1)	(5,23,1)	(5,21,1)	(5,21,1)	(5,20,1)	(5,20,1)			
(6,24,1)	(6,24,1)	(6,23,1)	(6,23,1)	(6,21,1)	(6,21,1)	(6,20,1)	(6,20,1)			
(7,24,1)	(7,24,1)	(7,23,1)	(7,23,1)	(7,21,1)	(7,21,1)	(7,20,1)	(7,20,1)			
(8,24,1)	(8,24,1)	(8,23,1)	(8,23,1)	(8,21,1)	(8,21,1)	(8,20,1)	(8,20,1)			
(9,24,1)	(9,24,1)	(9,23,1)	(9,23,1)	(9,21,1)	(9,21,1)	(9,20,1)	(9,20,1)			
(10,24,1)	(10,24,1)	(10,23,1)	(10,23,1)	(10,21,1)	(10,21,1)	(10,20,1)	(10,20,1)			
(11,24,1)	(11,24,1)	(11,23,1)	(11,23,1)	(11,21,1)	(11,21,1)	(11,20,1)	(11,20,1)			
(12,24,1)	(12,24,1)	(12,23,1)	(12,23,1)	(12,21,1)	(12,21,1)	(12,20,1)	(12,20,1)			
(13,24,1)	(13,24,1)	(13,23,1)	(13,23,1)	(13,21,1)	(13,21,1)	(13,20,1)	(13,20,1)			
(14,24,1)	(14,24,1)	(14,23,1)	(14,23,1)	(14,21,1)	(14,21,1)	(14,20,1)	(14,20,1)			
(15,24,1)	(15,24,1)	(15,23,1)	(15,23,1)	(15,21,1)	(15,21,1)	(15,20,1)	(15,20,1)			
(16,24,1)	(16,24,1)	(16,23,1)	(16,23,1)	(16,21,1)	(16,21,1)	(16,20,1)	(16,20,1)			
(17,24,1)	(17,24,1)	(17,23,1)	(17,23,1)	(17,21,1)	(17,21,1)	(17,20,1)	(17,20,1)			
(18,24,1)	(18,24,1)	(18,23,1)	(18,23,1)	(18,21,1)	(18,21,1)	(18,20,1)	(18,20,1)			
(19,24,1)	(19,24,1)	(19,23,1)	(19,23,1)	(19,21,1)	(19,21,1)	(19,20,1)	(19,20,1)			
(20,24,1)	(20,24,1)	(20,23,1)	(20,23,1)	(20,21,1)	(20,21,1)	(20,20,1)	(20,20,1)			
(21,24,1)	(21,24,1)	(21,23,1)	(21,23,1)	(21,21,1)	(21,21,1)	(21,20,1)	(21,20,1)			
(22,24,1)	(22,24,1)	(22,23,1)	(22,23,1)	(22,21,1)	(22,21,1)	(22,20,1)	(22,20,1)			
(23,24,1)	(23,24,1)	(23,23,1)	(23,23,1)	(23,21,1)	(23,21,1)	(23,20,1)	(23,20,1)			
(24,24,1)	(24,24,1)	(24,23,1)	(24,23,1)	(24,21,1)	(24,21,1)	(24,20,1)	(24,20,1)			
(0,24,2)	(0,24,2)	(0,23,2)	(0,23,2)	(0,21,2)	(0,21,2)	(0,20,2)	(0,20,2)			
(1,24,2)	(1,24,2)	(1,23,2)	(1,23,2)	(1,21,2)	(1,21,2)	(1,20,2)	(1,20,2)			
(2,24,2)	(2,24,2)	(2,23,2)	(2,23,2)	(2,21,2)	(2,21,2)	(2,20,2)	(2,20,2)			
(3,24,2)	(3,24,2)	(3,23,2)	(3,23,2)	(3,21,2)	(3,21,2)	(3,20,2)	(3,20,2)			
(4,24,2)	(4,24,2)	(4,23,2)	(4,23,2)	(4,21,2)	(4,21,2)	(4,20,2)	(4,20,2)			
(5,24,2)	(5,24,2)	(5,23,2)	(5,23,2)	(5,21,2)	(5,21,2)	(5,20,2)	(5,20,2)			
(6,24,2)	(6,24,2)	(6,23,2)	(6,23,2)	(6,21,2)	(6,21,2)	(6,20,2)	(6,20,2)			
(7,24,2)	(7,24,2)	(7,23,2)	(7,23,2)	(7,21,2)	(7,21,2)	(7,20,2)	(7,20,2)			
(8,24,2)	(8,24,2)	(8,23,2)	(8,23,2)	(8,21,2)	(8,21,2)	(8,20,2)	(8,20,2)			
(9,24,2)	(9,24,2)	(9,23,2)	(9,23,2)	(9,21,2)	(9,21,2)	(9,20,2)	(9,20,2)			
(10,24,2)	(10,24,2)	(10,23,2)	(10,23,2)	(10,21,2)	(10,21,2)	(10,20,2)	(10,20,2)			
(11,24,2)	(11,24,2)	(11,23,2)	(11,23,2)	(11,21,2)	(11,21,2)	(11,20,2)	(11,20,2)			
(12,24,2)	(12,24,2)	(12,23,2)	(12,23,2)	(12,21,2)	(12,21,2)	(12,20,2)	(12,20,2)			
(13,24,2)	(13,24,2)	(13,23,2)	(13,23,2)	(13,21,2)	(13,21,2)	(13,20,2)	(13,20,2)			
(14,24,2)	(14,24,2)	(14,23,2)	(14,23,2)	(14,21,2)	(14,21,2)	(14,20,2)	(14,20,2)			
(15,24,2)	(15,24,2)	(15,23,2)	(15,23,2)	(15,21,2)	(15,21,2)	(15,20,2)	(15,20,2)			
(16,24,2)	(16,24,2)	(16,23,2)	(16,23,2)	(16,21,2)	(16,21,2)	(16,20,2)	(16,20,2)			
(17,24,2)	(17,24,2)	(17,23,2)	(17,23,2)	(17,21,2)	(17,21,2)	(17,20,2)	(17,20,2)			
(18,24,2)	(18,24,2)	(18,23,2)	(18,23,2)	(18,21,2)	(18,21,2)	(18,20,2)	(18,20,2)			
(19,24,2)	(19,24,2)	(19,23,2)	(19,23,2)	(19,21,2)	(19,21,2)	(19,20,2)	(19,20,2)			
